artist.hotttnesss,artist.id,artist.name,artist_mbtags,artist_mbtags_count,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,latitude,location,longitude,loudness,mode,mode_confidence,release.id,release.name,similar,song.hotttnesss,song.id,start_of_fade_out,tatums_confidence,tatums_start,tempo,terms,terms_freq,time_signature,time_signature_confidence,title,year
0.401997543,ARD7TVE1187B99BFB1,Casual,,0,0.643,0.58521,0.834,0.58521,218.93179,0.247,0.581793766,1,0.736,37.15735675,California - LA,-63.93335787,-11.197,0,0.636,300848,Fear Itself,ARV4KO21187FB38008,0.60211999,SOMZWCG12A8C13C480,218.932,0.779,0.28519,92.198,hip hop,1,4,0.778,I Didn't Mean To,0
0.417499645,ARMJAGH1187FB546F3,The Box Tops,classic pop and rock,1,0.007,0.71054,1,0.20627,148.03546,0.148,0.630630038,6,0.169,35.14968,"Memphis, TN",-90.04892,-9.843,0,0.43,300822,Dimensions,ARSZWK21187B9B26D7,,SOCIWDW12A8C13D406,137.915,0.969,0.20627,121.274,blue-eyed soul,1,4,0.384,Soul Deep,1969
0.343428378,ARKRRTF1187B9984DA,Sonora Santanera,,0,0.98,0.73152,0.98,0.73152,177.47546,0.282,0.487356791,8,0.643,37.15735675,Not available,-63.93335787,-9.689,1,0.565,514953,Las Numero 1 De La Sonora Santanera,ARFSJUG11C8A421AAD,,SOXVLOJ12AB0189215,172.304,0.482,0.42132,100.07,salsa,1,1,0,Amor De Cabaret,0
0.454231157,AR7G5I41187FB4CE6C,Adam Ant,uk,1,0.017,1.30621,0.809,0.81002,233.40363,0,0.630382334,0,0.751,37.15735675,"London, England",-63.93335787,-9.013,1,0.749,287650,Friend Or Foe,AR4R0741187FB39AF2,,SONHOTT12A8C13493C,217.124,0.601,0.56254,119.293,pop rock,0.988583863,4,0,Something Girls,1982
0.401723686,ARXR32B1187FB57099,Gob,,0,0.175,1.06368,0.883,0.13576,209.60608,0.066,0.651045661,2,0.092,37.15735675,Not available,-63.93335787,-4.501,1,0.371,611336,Muertos Vivos,ARUA62A1187B99D9B0,0.604500739,SOFSOCN12A8C143F5D,198.699,1,0.13576,129.738,pop punk,0.887288301,4,0.562,Face the Ashes,2007
0.385470551,ARKFYS91187B98E58F,Jeff And Sheri Easter,,0,0.121,1.17118,0.438,0.74856,267.7024,2.264,0.535292736,5,0.635,37.15735675,Not available,-63.93335787,-9.323,1,0.557,41838,Ordinary Day,ARHNMEZ11F50C4706C,,SOYMRWW12A6D4FAB14,254.27,0.136,0.53929,147.782,southern gospel,1,3,0.454,The Moon And I (Ordinary Day Album Version),0
0.261941177,ARD0S291187B9B7BF5,Rated R,,0,0.709,0.27253,0.709,0.27253,114.78159,0.096,0.556495602,1,0,37.15735675,Ohio,-63.93335787,-17.302,1,0,25824,Da Ghetto Psychic,ARF93II1187B99F981,,SOMJBYD12A6D4F8557,114.782,0.467,0.05611,111.787,breakbeat,1,1,0,Keepin It Real (Skit),0
0.605507136,AR10USD1187B99F3F1,Tweeterfriendly Music,,0,0.142,0.65428,0.234,0.65428,189.57016,0.319,0.801136447,4,0,37.15735675,"Burlington, Ontario, Canada",-63.93335787,-11.642,0,0.16,8876,Gin & Phonic,ARJXL4Z1187B9A5920,,SOHKNRJ12A6701D1F8,181.023,0.292,0.36129,101.43,post-hardcore,0.999818045,3,0.408,Drop of Rain,0
0.332275747,AR8ZCNI1187B9A069B,Planet P Project,,0,0.806,1.91886,0.44,1.22595,269.81832,5.3,0.426667857,4,0.717,37.15735675,Not available,-63.93335787,-13.496,1,0.652,358182,Pink World,ARWVP631187FB4D016,0.265861049,SOIAZJW12AB01853F1,258.99,0.121,1.22595,86.643,new wave,0.959766246,4,0.487,Pink World,1984
0.422705641,ARNTLGG11E2835DDB9,Clp,,0,0.047,0.62445,1,0.09933,266.39628,0.084,0.550513698,7,0.053,37.15735675,Not available,-63.93335787,-6.697,0,0.473,692313,Superinstrumental,ARAR1XA11C8A415BE5,,SOUDSGM12AC9618304,261.747,1,0.09933,114.041,breakcore,0.915601748,4,0.878,Insatiable (Instrumental Version),0
0.296268954,ARGSJW91187B9B1D6B,JennyAnyKind,,0,0.873,0.11194,0.873,0.11194,218.77506,2.125,0.360031167,5,0.354,35.21962,North Carolina,-80.01955,-10.021,0,0.485,539081,I Need You,AR9AM2N1187B9AD2F1,0,SOQHXMF12AB0182363,207.012,0.229,0.11194,146.765,alternative rock,0.956080751,1,0,Young Boy Blues,0
0.351555861,ARC43071187B990240,Wayne Watson,,0,0.018,1.45439,1,0.42896,245.21098,0.357,0.545159296,7,0.07,37.15735675,"Wisner, LA",-63.93335787,-7.545,1,0.686,163874,The Way Home,ARKNAD81187B98F8C9,0.265861049,SOKEJEJ12A8C13E0D0,227.48,0.728,0.1727,117.975,ccm,1,4,0.835,The Urgency (LP Version),0
0.37948217,ARL7K851187B99ACD2,Andy Andy,,0,0.013,1.2229,0.699,0.29639,226.35057,0,0.577508974,9,0.205,37.15735675,Not available,-63.93335787,-6.632,1,0.305,575792,Placer & Castigo,ARATQJ61187B9B97E3,0,SOMUYGI12AB0188633,221.553,1,0.06508,130.04,bachata,1,4,0,La Culpa,0
0.251936525,ARHHO3O1187B989413,Bob Azzam,,0,1,0.46223,1,0.46223,191.84281,0.38,0.085512047,10,0,37.15735675,Not available,-63.93335787,-7.75,0,0.198,815863,Arrivederci,AR3QRJ91187B98E4C2,0,SORAMLE12AB017C8B0,188.424,0.774,0.23506,137.334,chanson,0.977114901,1,0.319,Auguri Cha Cha,0
0.553071992,ARIK43K1187B9AE54C,Lionel Richie,soul and reggae,1,0.191,0.82842,1,0.82842,307.3824,0.612,0.776675856,3,0.524,37.15735675,"Beverly Hills, CA",-63.93335787,-8.346,1,0.533,25811,Dancing On The Ceiling,ARVP1TO1187B9A4A7A,,SOBONFF12A6D4F84D8,296.658,0.389,0.58901,125.197,quiet storm,1,3,0.211,Tonight Will Be Alright,1986
0.447935481,ARD842G1187B997376,Blue Rodeo,canadian,2,0.507,1.32118,0,0.30065,491.12771,0,0.636423645,7,1,43.64856,"Toronto, Ontario, Canada",-79.38533,-8.576,1,0.829,135122,Outskirts,ARGCEMX1187B9921A4,0.405115722,SOHUOAP12A8AE488E9,486.034,0.377,0.05047,119.826,country rock,1,4,0.756,Floating,1987
0.330806357,ARIG6O41187B988BDD,Richard Souther,,0,0.125,1.19076,0.768,0.24795,228.5971,0.223,0.419943148,8,0.041,37.16793,United States,-95.84502,-16.11,1,0.516,149958,Cross Currents,AR6UR8S1187B9B928F,0.334706549,SOUQQEA12A8C134B1B,217.426,0.767,0.08584,127.756,chill-out,0.830058031,5,0.579,High Tide,0
0.306676094,AR1ZHYZ1187FB3C717,Faiz Ali Faiz,,0,0.443,0.90668,0,0.27615,599.24853,1.193,0.363280571,6,0.06,37.15735675,Not available,-63.93335787,-8.032,1,0.346,535188,Panjtan Ka Ghulam,ARACE911187B999DB5,,SOILPQQ12AB017E82A,591.999,0.48,0.12168,99.273,qawwali,1,4,0.158,Sohna Nee Sohna Data,0
0.51346329,ARYKCQI1187FB3B18F,Tesla,,0,0.03,0.8752,1,0.05728,290.29832,0.145,0.707199764,7,0.725,37.15735675,Not available,-63.93335787,-5.271,1,0.756,372309,Gold,ARO353H1187B9A43E9,0.684136191,SOXLBJT12A8C140925,285.605,0.238,0.05728,150.062,hard rock,1,4,0.931,Caught In A Dream,2004
0,ARNPAGP1241B9C7FD4,lextrical,,0,0.026,0.66829,0.821,0.22335,165.69424,0.162,0.32031437,7,0.011,37.15735675,Not available,-63.93335787,-6.787,1,0.568,541101,Whatever Happened To Boredom?,ARDKYXY11E2835EB51,0,SOZVMJI12AB01808AF,157.391,0.682,0.22335,138.331,indietronica,1,4,0.127,Synthetic Dream,0
0.291539727,ARQGYP71187FB44566,Jimmy Wakely,,0,0.163,0.12236,0,0.12236,151.84934,2.827,0.39413854,1,0.799,34.31109,"Mineola, AR",-94.02978,-15.221,1,0.716,605134,1942-1952 Jimmy Wakely,ARFYPFB1187FB3D65C,,SOWTBJW12AC468AC6E,146.199,0.617,0.12236,86.186,classic country,1,3,0.929,Broken-Down Merry-Go-Round,0
0.328553015,ARI3BMM1187FB4255E,Alice Stuart,,0,0.899,0.46253,0.899,0.46253,220.78649,0.206,0.489816269,11,0.809,38.8991,Washington,-77.029,-8.514,1,0.521,239740,All The Good Times,AR0MN9F1187B9A9F71,0,SOBEBDG12A58A76D60,207.656,0.841,0.16228,110.382,electric blues,0.905093008,1,0.192,Kassie Jones,0
0.378254686,AR5KOSW1187FB35FF4,Elena,,0,0.552,1.06937,0,0.51434,269.58322,0,0.677420465,2,0.596,49.80388,Dubai UAE,15.47491,-8.05,1,0.666,386995,Un cafe_ setanta matins,ARDFZRH1269FCD3ADD,0.313562114,SOZCTXZ12AB0182364,256.168,0.978,0.51434,111.874,uk garage,0.935319892,4,1,Setanta matins,0
0.541888972,ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,rock and indie,1,0.027,1.06698,0.931,0.33578,207.77751,0.061,0.839962768,7,0.381,40.82624,"Morris Plains, NJ",-74.47995,-4.264,1,0.453,223365,Miss Machine,ARNUJQM1187FB3EE72,0.666527846,SOBBUGU12A8C13E95D,204.696,0.654,0.15349,166.862,math-core,0.944381208,4,0,Setting Fire to Sleeping Giants,2004
0.306242264,AR47JEX1187B995D81,SUE THOMPSON,,0,0.006,0.70311,0.587,0.26706,124.86485,0,0.435415818,10,0.697,37.83721,"Nevada, MO",-94.35868,-12.332,1,0.541,652784,Sue Thompson - Her Very Best,ARD92TH1187FB57ACD,0.495293621,SOBLGCN12AB0183212,115.74,1,0.04025,137.522,pop rock,0.979853486,4,0,James (Hold The Ladder Steady),1985
0.363651365,ARGIWFO1187B9B55B7,Five Bolt Main,,0,0.857,0.08901,0.857,0.08901,225.09669,0,0.6090637,7,0.53,37.15735675,Not available,-63.93335787,-5.908,1,0.512,45730,Live,ARXXRJJ1187B9B4DCF,0.375984302,SOPSWQW12A6D4F8781,225.097,0.24,0.08901,164.672,post-grunge,0.953673906,1,0,Made Like This (Live),0
0.422705641,ARNTLGG11E2835DDB9,Clp,,0,0.063,0.93643,1,0.45716,338.31138,0,0.550513698,6,0.687,37.15735675,Not available,-63.93335787,-6.486,0,0.486,672016,Strictly Confidential,ARAR1XA11C8A415BE5,,SOZQDIU12A58A7BCF6,338.311,0.956,0.21693,125.006,breakcore,0.915601748,4,1,Superconfidential,0
0.349912612,ARDNS031187B9924F0,Tim Wilson,,0,0,0.52648,0,0.52648,186.48771,1.083,0.459797129,5,0.762,32.67828,Georgia,-83.22295,-4.516,1,0.539,160881,The Real Twang Thang,AR74HI61187FB5327F,,SONYPOM12A8C13B2D7,175.467,0.231,0.07391,90.022,filk,1,1,0.971,I Think My Wife Is Running Around On Me (Taco Hell),2005
0.379671125,AROUOZZ1187B9ABE51,Willie Bobo,,0,0.02,1.01964,1,0.06314,168.25424,0.2,0.588827101,8,0.812,40.79195,"New York, NY [Spanish Harlem]",-73.94512,-9.616,1,0.736,59744,Willie Bobo's Finest Hour,AR1N6N61187FB4E25E,,SOBZBAZ12A6D4F8742,161.89,0.959,0.06314,127.025,latin jazz,0.965406124,4,0.792,Spanish Grease,1997
0.299230368,ARH4Z031187B9A71F2,Faye Adams,,0,0.096,0.97531,0.987,0.3393,156.39465,0.562,0.396455254,8,0.569,40.73197,"Newark, NJ",-74.17418,-18.051,1,0.495,373723,Shake A Hand,ARRB15P1187FB3B0DF,0,SOVYKGO12AB0187199,150.634,0.67,0.3393,95.957,jump blues,1,3,0.689,Crazy Mixed Up World,1961
0.416173065,ARB29H41187B98F0EF,Terry Callier,classic pop and rock,1,0.145,0.96908,0.708,0.42073,342.56934,0.063,0.706827671,6,0.381,41.88415,Chicago,-87.63241,-11.939,1,0.538,228326,Occasional Rain,ARTB5PP1187FB523B7,0.413739836,SOGNCJP12A58A80271,333.154,0.462,0.13836,110.189,soul jazz,0.985011245,3,0.353,Do You Finally Need A Friend,1972
0.452789477,AR1Y2PT1187FB5B9CE,John Wesley,,0,0.042,0.56075,0,0.56075,484.62322,28.172,0.560557984,4,0.283,27.94017,Brandon,-82.32547,-15.335,0,0.363,463514,The Emperor Falls,ARRJTPR11F4C8473CF,0.377531645,SOLLHMX12AB01846DC,480.363,0.057,0.56075,138.007,disco,1,4,0.893,The Emperor Falls,0
0.418216518,ARAJPHH1187FB5566A,The Shangri-Las,,0,0.812,0.10131,0.812,0.10131,164.80608,0,0.640807102,10,0.254,40.7038,"Queens, NY",-73.83168,-10.922,1,0.042,643400,Best of The Shangri-Las,ARXY7M01187B9B7611,0.443291312,SOYTPEP12AB0180E7B,156.177,0.879,0.10131,130.1,doo-wop,0.922774628,1,0,Twist and Shout,1964
0.384611084,AR0RCMP1187FB3F427,Billie Jo Spears,,0,0,0.24118,0,0.24118,133.32853,0,0.523714637,4,0.384,30.08615,"Beaumont, TX",-94.10158,-9.983,1,0.402,663761,20 Of Her Best,AR7HM181187FB3CFC1,0,SOGXHEG12AB018653E,130.009,0.515,0.04851,160.839,classic country,0.984993496,1,0,It Makes No Difference Now,1992
0.426317956,AREBBGV1187FB523D2,Mike Jones (Featuring CJ_ Mello & Lil' Bran),,0,0.616,0.40866,0.616,0.40866,173.66159,0,0.79360508,7,0.299,37.15735675,"Houston, TX",-63.93335787,-7.762,1,0.464,12882,Who Is Mike Jones?,ARNJJXJ11F50C4EA81,,SOOLYAZ12A6701F4A6,164.908,0.536,0.05133,41.993,rap,1,1,0,Laws Patrolling (Album Version),0
0.392733676,ARGUVEV1187B98BA17,Sierra Maestra,,0,0.291,0.76895,0.219,0.09309,313.12934,0,0.501544777,9,0.724,37.15735675,Not available,-63.93335787,-9.512,1,0.364,270281,Tibiri Tabara,AR2HU081187FB5B263,,SOGOSOV12AF72A285E,307.688,0.372,0.09309,189.646,charanga,1,3,0.674,A?DA3nde va Chichi?,1997
0.488019842,ARPQ4Z01187FB3A736,Butthole Surfers,texas,1,0.035,0.2438,0.604,0.2438,450.84689,0.467,0.809323793,4,0.726,29.42449,"San Antonio, TX",-98.49462,-9.063,0,0.367,244586,Piouhgd + Widowermaker!,ARCDZ0K1187FB43757,0.593943076,SOJXVAH12A8C139700,426.104,0.267,0.09307,130.586,noise rock,1,4,0.42,"Barking Dogs (From ""Piouhgd"")",0
0.41168896,ARNQAVF11F4C844C04,Despina Vandi,,0,0.791,0.10104,0.895,0.10104,303.09832,0.067,0.632559542,8,0.532,37.15735675,Not available,-63.93335787,-8.879,0,0.516,157648,Profities,ARQLM691187FB4CFA7,,SOVXMTN12A8C135A18,294.818,0.764,0.10104,128.292,dance pop,1,4,0.83,OUTE ENA EFHARISTO,0
0.382651971,ARXUT4W1187FB48BEB,Javier Navarrete,,0,0.359,0.77461,0.773,0.77461,128.83546,0,0.597541218,3,0,37.15735675,Not available,-63.93335787,-17.699,1,0.251,644631,Cracks,ARU52PB1187FB58E46,0.394394856,SORSECL12AB0182267,121.423,0.302,0.77461,90.932,orchestra,0.842995301,3,1,Midnight Swim,0
0.294861262,ARDD1RC1187B9B52B4,Jacob Young,jazz and blues,1,0.238,0.92047,0.908,0.23284,456.30649,0.241,0.495445922,1,0.611,37.15735675,Not available,-63.93335787,-19.478,1,0.546,730551,Pieces Of Time,ARM8XWM1187FB4E225,0,SOOGFBZ12AC3DF7FF2,451.315,0,0.06094,89.667,cool jazz,0.878319228,4,0.747,In A Subtle Way,0
0.393121934,ARLGWFM1187FB4AC9F,Scarlet's Remains,,0,0.379,0.73465,0.268,0.28881,198.73914,0,0.527865076,7,0.673,34.05349,California - LA,-118.24532,-7.469,1,0.579,709879,The Palest Grey,ARNM1OG1187FB3DE32,0.450992312,SOMSBGZ12AB018C4CB,193.016,0.461,0.14044,115.061,gothic metal,0.974033549,4,0.731,Spin,2007
0.467538444,ARWYVP51187B98C516,The Suicide Machines,,0,0.987,0.90181,0.471,0.38075,95.68608,0,0.668674533,2,0.421,42.33168,"Detroit, MI",-83.04792,-2.022,1,0.589,706005,A Match & Some Gasoline,ARGAFOR11F50C47F57,0.528782481,SONYRZV12AB018AF70,87.806,0.84,0.12215,115.887,ska punk,1,4,0.744,Burning In The Aftermath,2003
0.735765693,ARFCUN31187B9AD578,The Rolling Stones,british,4,0.797,0.15016,0.797,0.15016,271.49016,0.171,0.814829656,9,0.301,51.50632,"London, England",-0.12714,-10.358,0,0.392,42595,Jump Back - The Best Of The Rolling Stones_ '71-'93,ARSAIUN1187FB398D3,0.83449262,SONQBUB12A6D4F8ED0,263.784,0.018,0.15016,139.333,blues,0.999983058,1,0,Angie (1993 Digital Remaster),0
0.350078579,AR6YDKV1187B989230,Roberto Torres,,0,0.016,0.86592,0.917,0.34973,226.66404,0.311,0.482356043,0,0.863,37.15735675,Not available,-63.93335787,-12.716,1,0.671,782470,Lo Mejor con La Orq. Broadway,AR1PNWN1187FB4A404,0,SOHGKJW12AC468A8BD,219.51,0.646,0.34973,117.271,salsa,1,4,0.453,Sabor Guajiro,0
0.442765842,ARV1JVD1187B9AD195,Loudon Wainwright III,easy listening soundtracks and musicals,1,0.077,1.56662,0.799,0.37554,190.48444,0.258,0.661080168,3,0.544,35.91463,"Chapel Hill, NC",-79.05661,-15.663,1,0.596,28723,Grown Man,ARYXGMM1187B9AC285,0.510119314,SOINBCU12A6D4F94C0,177.029,0.537,0.37554,102.428,modern rock,1,4,0.496,Human Cannonball,1995
0.466628889,AR7TTS41187B9B42D3,R.L. Burnside,delta blues,1,0.002,0.93659,0.885,0.275,277.78567,0.24,0.701180874,2,0,34.36401,"Oxford, MS",-89.51877,-6.944,1,0,557761,A Bothered Mind,AR3KUCG1187B9A0BEA,0.482137585,SOTWVQT12A58A79650,267.453,0.963,0.275,89.984,delta blues,0.980350471,4,0,Glory Be,2004
0.544257506,ART3O5Z1187B9AB043,Stevie Ray Vaughan,jazz and blues,1,0.008,0.74277,1,0.2077,248.78975,0.183,0.73379894,1,0.754,32.77815,"Dallas, TX",-96.7954,-7.805,1,0.597,417945,Greatest Hits,ARZBUQ41187FB39D29,,SOTSEJY12AB0180F56,246.19,0.867,0.2077,116.721,texas blues,0.999791772,4,0.522,Crossfire,1992
0.452817838,AR5U94U1187FB5CDCF,John Hammond,folk,1,0.058,0.32071,0.651,0.32071,195.3171,0,0.590692918,7,0.98,37.15735675,Not available,-63.93335787,-10.7,1,0.753,575531,Bluesman,ARWBYRS1187FB3DE02,,SOTSETT12AB01863B8,187.617,0.672,0.32071,123.142,blues,1,4,0.678,I Can't Be Satisfied,2002
0.394217199,ARRJNTE1187FB44E12,Casiotone For The Painfully Alone,dance and electronica,1,0.002,0.74575,0.706,0.32409,175.72526,0.734,0.665322162,0,0.522,37.15735675,Not available,-63.93335787,-10.93,1,0.474,234425,Etiquette,AREX9GE1187FB41987,0.785892288,SOTUNMH12A6D4FA3E6,168.699,1,0.11431,141.919,trip hop,0.877629027,4,0.445,Nashville Parthenon,2006
0.33457736,AR6IRG41187B9A4D98,Ec8or,,0,0.024,0.47086,0,0.47086,217.23383,1.042,0.50407567,10,0.005,52.51607,"Berlin, Germany",13.37698,-9.493,0,0.305,505301,Ec8or,AR3TG3X1187FB4D577,,SOEPPKB12AB018418B,213.496,0.283,0.15342,95.596,hardcore techno,1,4,1,Cocain Ducks,1995
0.479308459,ARS1OWB1187B99EEAD,The New York Dolls,punk,1,0.877,0.12284,0.877,0.12284,344.05832,0.068,0.717670525,11,0.425,37.15735675,"New York, NY",-63.93335787,-9.253,1,0.486,74655,Too Much Too Soon,AR9B5JX1187FB55D84,0.561692411,SOGKIWV12A6D4F86C4,335.029,0.56,0.12284,154.953,glam rock,0.998786077,1,0,Human Being,1974
0.427914247,ARGMXQW1187FB54C34,Eliane Elias,brazilian,1,0.068,2.90946,0.675,0.14772,251.42812,0.071,0.669726188,7,0.391,-23.56287,"Sao Paulo, Brazil",-46.65466,-12.009,1,0.319,322532,Bossa Nova Stories,ARCXKY91187B9ACA99,0.43483809,SOPHYIS12AAF3B35A3,237.598,0.228,0.14772,86.091,brazilian jazz,1,5,0.551,The More I See You,2009
0.412240601,AROEL1B1187B988B90,Lost Boyz,american,1,0.267,0.34237,1,0.34237,269.7922,0.218,0.569741152,7,0.715,37.15735675,"South Jamaica, Queens",-63.93335787,-11.043,1,0.614,14592,Love_ Peace & Nappiness,ARE352A1187FB40607,0.405115722,SOFHBAR12A6701D0FE,257.416,0.466,0.34237,90.218,gangster rap,1,4,1,Certain Things We Do,1997
0.40439264,AR8W8DN1187FB35ED0,The Germs,los angeles,1,0.276,0.05314,0.276,0.05314,206.05342,0,0.640048357,11,0.641,34.05349,"Los Angeles, CA",-118.24532,-11.506,0,0.597,515081,Germicide,ARNFTGS1187B9A465F,,SOCPRKM12AB018A2FD,206.053,0.48,0.05314,133.144,rock,1,1,0,Forming,1977
0.383475745,ARUWLCL1187FB549B8,Yamandu Costa,,0,0.599,0.31943,0.462,0.02559,190.04036,0,0.397772876,2,0.105,37.15735675,Not available,-63.93335787,-14.179,1,0.433,765750,MafuA!,AR9RJJI1187B9930AB,,SOFGHAM12AB0186412,176.924,0.626,0.02559,205.317,brazilian jazz,1,4,0,MafuA!,0
0.500691341,AR3793X1187FB50CB3,Chris Rea,rock,1,0.386,0.42366,0,0.0889,241.162,0.549,0.643182773,9,0.222,37.15735675,"Middlesbrough, England",-63.93335787,-8.531,1,0.403,17220,The Road To Hell Part 2,ARFWLXM1187B9B5EE5,0.767727748,SODHVES12A6701CE6B,230.342,0.587,0.0889,180.149,soft rock,0.961375214,4,0,Driving Home For Christmas,1986
0.338414819,ARINEWW1187FB5577E,Perrey And Kingsley,,0,0.102,0.49054,0,0.49054,122.64444,0.99,0.411421048,0,0.61,37.15735675,Not available,-63.93335787,-8.541,0,0.489,617077,Vanguard Visionaries,ARMNSQF1187FB57CB7,0.43483809,SOXIATP12AAF3B2184,109.627,0.411,0.05812,102.538,easy listening,0.947930118,4,0.869,Spooks In Space,1966
0.523699078,ARDGB6U1187FB3AD07,Eurythmics,british,2,0.453,8.99358,0.777,2.31778,207.0722,2.583,0.75100762,0,0.442,51.50632,"London, England",-0.12714,-6.629,1,0.371,278999,Be Yourself Tonight,ARGE7G11187FB37E05,0.38293509,SOGNQWU12A8AE4868F,202.757,0.516,2.31778,84.164,dance rock,0.947914829,4,0.853,Tous Les GarASSons Et Les Filles,1985
0.383524247,AR2J2WF1187FB46271,Francis Dunnery,,0,0.008,1.1612,0.379,0.67535,300.79955,0,0.54858513,7,0.666,54.48303,"Egremont, Cumbria, England",-3.53444,-13.33,1,0.658,19601,Hometown 2001,ARL2M1Y1187FB3A940,0.610474258,SOYQOFI12A6D4F76E1,298.347,0.249,0.42142,124.175,singer-songwriter,1,4,0.698,Too Much Saturn,1995
0.481655862,ARUI8651187B9ACF52,John Cale,british,2,0.632,0.02909,0.632,0.02909,228.46649,0,0.749317801,7,0.458,37.15735675,"Garnant, Wales",-63.93335787,-12.412,1,0.602,38599,Eat / Kiss: Music For The Films By Andy Warhol,AR3I2HS1187B9AC3BB,0.226555314,SOVOLGY12A6D4F822B,228.466,0.513,0.02909,137.004,experimental rock,1,1,0,Movement 4 [from Kiss] (Album Version),1997
0.380704536,AR89DTT1187B9A7ED5,Suzanne Ciani,instrumental,1,0.114,0.96617,0.526,0.3834,239.59465,0.311,0.631946666,7,0.527,37.77916,California - SF,-122.42005,-21.552,1,0.613,619882,The Ultimate Most Relaxing New Age Piano in the Universe,ARBN7GR1187FB531FD,0.415983118,SOMZCVH12AB0182B8E,236.507,0.488,0.08155,106.33,meditation,0.920584126,4,0.526,Stream,0
0.396855869,ARMD0G81187B99A519,Vickie Winans,,0,0.572,1.06091,0.601,0.50472,228.93669,0.338,0.653937821,11,0.172,37.15735675,Not available,-63.93335787,-8.686,0,0.369,618615,Classic Gold: Best of All,ARXJJSN1187B98CB37,,SONXJBL12AAF3B2C0C,219.574,0.275,0.22871,107.961,ccm,1,4,1,Make Me Over,0
0.45755391,AR0VZWC1187B99BA57,The Berzerker,grindcore,1,0.234,0.38387,0,0.38387,165.61587,2.171,0.668370612,1,0.108,-37.81753,"Melbourne, Australia",144.96715,-6.222,1,0.256,681639,The Berzerker,AR3FOFE1187FB3E18A,0,SOYWZTU12AB0180E26,165.616,0.115,0.21142,174.287,speedcore,0.932857594,3,0.132,Deform (live),2000
0.788805935,ARF2EHS1187B994F4E,Kings Of Leon,american,2,0.109,1.18583,1,0.15226,187.92444,0.328,0.845768866,0,0.612,36.16778,"Nashville, Tennessee",-86.77836,-5.907,1,0.735,449471,Holy Roller Novocaine,AR3KUCG1187B9A0BEA,0.685940227,SOLGHDZ12AB0183B11,180.344,0.784,0.15226,116.823,southern rock,1,4,0.347,Wicker Chair,2003
0.30004649,ARZKRD01187FB45FD2,Edith Lefel,,0,0.018,1.1958,0.611,0.01968,276.50567,0.299,0.407455644,0,0.29,37.15735675,Not available,-63.93335787,-4.638,1,0.389,321356,Jeux de dames_ vol. 1 (rA(c)alisation Ronald Rubinel),ARTIJDU1187FB589E2,0,SOTNTNJ12AAA15FBD6,261.956,0.656,0.01968,101.972,zouk,1,4,1,An ti chans',0
0.189314878,ARK4H5K1187B992F74,Taras,,0,0.084,0.89225,0.907,0.41788,200.25424,0,0.460171324,11,0.056,37.15735675,Not available,-63.93335787,-5.884,0,0.283,530141,I Will Love Again,ARTUIKS1187B992F70,,SOXZXXV12AAF3B3A67,194.844,0.582,0.1801,127.97,trance,1,4,0,I Will Love Again (JJ's Club Radio),0
